disease,n,p,k,temperature,humidity,ph,severity_level,remedy_with_remedy_capacity
Salinity Stress,115,65,115,26.6,60,6.5,Mild,140
Salinity Stress,116,66,116,26.7,61,6.4,Mild,140
Salinity Stress,117,67,117,26.8,62,6.3,Mild,140
Salinity Stress,118,68,118,26.9,63,6.2,Mild,140
Salinity Stress,119,69,119,27,64,6.1,Mild,140
Salinity Stress,120,70,120,27.1,65,6,Mild,140
Salinity Stress,121,71,121,27.2,66,5.9,Mild,140
Salinity Stress,122,72,122,27.3,67,5.8,Mild,140
Salinity Stress,123,73,123,27.4,68,5.7,Mild,140
Salinity Stress,104,54,104,25.5,60,6.5,Mild,141
Salinity Stress,105,55,105,25.6,61,6.4,Mild,141
Salinity Stress,106,56,106,25.7,62,6.3,Mild,141
Salinity Stress,107,57,107,25.8,63,6.2,Mild,141
Salinity Stress,108,58,108,25.9,64,6.1,Mild,141
Salinity Stress,109,59,109,26,65,6,Mild,141
Salinity Stress,110,60,110,26.1,66,5.9,Mild,141
Salinity Stress,111,61,111,26.2,67,5.8,Mild,141
Salinity Stress,112,62,112,26.3,68,5.7,Mild,141
Salinity Stress,113,63,113,26.4,69,5.6,Mild,141
Salinity Stress,114,64,114,26.5,70,5.5,Mild,141
Salinity Stress,144,94,144,24.4,60,6.5,Mild,142
Salinity Stress,145,95,145,24.5,61,6.4,Mild,142
Salinity Stress,146,96,146,24.6,62,6.3,Mild,142
Salinity Stress,147,97,147,24.7,63,6.2,Mild,142
Salinity Stress,148,98,148,24.8,64,6.1,Mild,142
Salinity Stress,149,99,149,24.9,65,6,Mild,142
Salinity Stress,150,100,150,25,66,5.9,Mild,142
Salinity Stress,100,50,100,25.1,67,5.8,Mild,142
Salinity Stress,101,51,101,25.2,68,5.7,Mild,142
Salinity Stress,102,52,102,25.3,69,5.6,Mild,142
Salinity Stress,103,53,103,25.4,70,5.5,Mild,142
Salinity Stress,133,83,133,23.3,60,6.5,Mild,143
Salinity Stress,134,84,134,23.4,61,6.4,Mild,143
Salinity Stress,135,85,135,23.5,62,6.3,Mild,143
Salinity Stress,136,86,136,23.6,63,6.2,Mild,143
Salinity Stress,137,87,137,23.7,64,6.1,Mild,143
Salinity Stress,138,88,138,23.8,65,6,Mild,143
Salinity Stress,139,89,139,23.9,66,5.9,Mild,143
Salinity Stress,140,90,140,24,67,5.8,Mild,143
Salinity Stress,141,91,141,24.1,68,5.7,Mild,143
Salinity Stress,142,92,142,24.2,69,5.6,Mild,143
Salinity Stress,143,93,143,24.3,70,5.5,Mild,143
Salinity Stress,122,72,122,22.2,60,6.5,Mild,144
Salinity Stress,123,73,123,22.3,61,6.4,Mild,144
Salinity Stress,124,74,124,22.4,62,6.3,Mild,144
Salinity Stress,125,75,125,22.5,63,6.2,Mild,144
Salinity Stress,126,76,126,22.6,64,6.1,Mild,144
Salinity Stress,127,77,127,22.7,65,6,Mild,144
Salinity Stress,128,78,128,22.8,66,5.9,Mild,144
Salinity Stress,129,79,129,22.9,67,5.8,Mild,144
Salinity Stress,130,80,130,23,68,5.7,Mild,144
Salinity Stress,131,81,131,23.1,69,5.6,Mild,144
Salinity Stress,132,82,132,23.2,70,5.5,Mild,144
Salinity Stress,111,61,111,21.1,60,6.5,Mild,145
Salinity Stress,112,62,112,21.2,61,6.4,Mild,145
Salinity Stress,113,63,113,21.3,62,6.3,Mild,145
Salinity Stress,114,64,114,21.4,63,6.2,Mild,145
Salinity Stress,115,65,115,21.5,64,6.1,Mild,145
Salinity Stress,116,66,116,21.6,65,6,Mild,145
Salinity Stress,117,67,117,21.7,66,5.9,Mild,145
Salinity Stress,118,68,118,21.8,67,5.8,Mild,145
Salinity Stress,119,69,119,21.9,68,5.7,Mild,145
Salinity Stress,120,70,120,22,69,5.6,Mild,145
Salinity Stress,121,71,121,22.1,70,5.5,Mild,145
Salinity Stress,100,50,100,20,60,6.5,Mild,146
Salinity Stress,101,51,101,20.1,61,6.4,Mild,146
Salinity Stress,102,52,102,20.2,62,6.3,Mild,146
Salinity Stress,103,53,103,20.3,63,6.2,Mild,146
Salinity Stress,104,54,104,20.4,64,6.1,Mild,146
Salinity Stress,105,55,105,20.5,65,6,Mild,146
Salinity Stress,106,56,106,20.6,66,5.9,Mild,146
Salinity Stress,107,57,107,20.7,67,5.8,Mild,146
Salinity Stress,108,58,108,20.8,68,5.7,Mild,146
Salinity Stress,109,59,109,20.9,69,5.6,Mild,146
Salinity Stress,110,60,110,21,70,5.5,Mild,146
Nutrient Deficiency,144,94,144,24.5,67,5.8,Mild,195
Nutrient Deficiency,145,95,145,24.6,68,5.7,Mild,195
Nutrient Deficiency,146,96,146,24.7,69,5.6,Mild,195
Nutrient Deficiency,147,97,147,24.8,70,5.5,Mild,195
Nutrient Deficiency,148,98,148,24.9,60,6.5,Mild,195
Nutrient Deficiency,149,99,149,25,61,6.4,Mild,195
Nutrient Deficiency,135,85,135,23.6,69,5.6,Mild,196
Nutrient Deficiency,136,86,136,23.7,70,5.5,Mild,196
Nutrient Deficiency,137,87,137,23.8,60,6.5,Mild,196
Nutrient Deficiency,138,88,138,23.9,61,6.4,Mild,196
Nutrient Deficiency,139,89,139,24,62,6.3,Mild,196
Nutrient Deficiency,140,90,140,24.1,63,6.2,Mild,196
Nutrient Deficiency,141,91,141,24.2,64,6.1,Mild,196
Nutrient Deficiency,142,92,142,24.3,65,6,Mild,196
Nutrient Deficiency,143,93,143,24.4,66,5.9,Mild,196
Nutrient Deficiency,125,75,125,22.6,70,5.5,Mild,197
Nutrient Deficiency,126,76,126,22.7,60,6.5,Mild,197
Nutrient Deficiency,127,77,127,22.8,61,6.4,Mild,197
Nutrient Deficiency,128,78,128,22.9,62,6.3,Mild,197
Nutrient Deficiency,129,79,129,23,63,6.2,Mild,197
Nutrient Deficiency,130,80,130,23.1,64,6.1,Mild,197
Nutrient Deficiency,131,81,131,23.2,65,6,Mild,197
Nutrient Deficiency,132,82,132,23.3,66,5.9,Mild,197
Nutrient Deficiency,133,83,133,23.4,67,5.8,Mild,197
Nutrient Deficiency,134,84,134,23.5,68,5.7,Mild,197
Nutrient Deficiency,113,63,113,21.4,69,5.6,Mild,198
Nutrient Deficiency,114,64,114,21.5,70,5.5,Mild,198
Nutrient Deficiency,115,65,115,21.6,60,6.5,Mild,198
Nutrient Deficiency,116,66,116,21.7,61,6.4,Mild,198
Nutrient Deficiency,117,67,117,21.8,62,6.3,Mild,198
Nutrient Deficiency,118,68,118,21.9,63,6.2,Mild,198
Nutrient Deficiency,119,69,119,22,64,6.1,Mild,198
Nutrient Deficiency,120,70,120,22.1,65,6,Mild,198
Nutrient Deficiency,121,71,121,22.2,66,5.9,Mild,198
Nutrient Deficiency,122,72,122,22.3,67,5.8,Mild,198
Nutrient Deficiency,123,73,123,22.4,68,5.7,Mild,198
Nutrient Deficiency,124,74,124,22.5,69,5.6,Mild,198
Nutrient Deficiency,133,83,133,18.3,60,6.5,Mild,199
Nutrient Deficiency,134,84,134,18.4,61,6.4,Mild,199
Nutrient Deficiency,135,85,135,18.5,62,6.3,Mild,199
Nutrient Deficiency,136,86,136,18.6,63,6.2,Mild,199
Nutrient Deficiency,122,72,122,17.2,60,6.5,Mild,200
Nutrient Deficiency,123,73,123,17.3,61,6.4,Mild,200
Nutrient Deficiency,124,74,124,17.4,62,6.3,Mild,200
Nutrient Deficiency,125,75,125,17.5,63,6.2,Mild,200
Nutrient Deficiency,126,76,126,17.6,64,6.1,Mild,200
Nutrient Deficiency,127,77,127,17.7,65,6,Mild,200
Nutrient Deficiency,128,78,128,17.8,66,5.9,Mild,200
Nutrient Deficiency,129,79,129,17.9,67,5.8,Mild,200
Nutrient Deficiency,130,80,130,18,68,5.7,Mild,200
Nutrient Deficiency,131,81,131,18.1,69,5.6,Mild,200
Nutrient Deficiency,132,82,132,18.2,70,5.5,Mild,200
Nutrient Deficiency,109,59,109,15.9,69,5.6,Mild,201
Nutrient Deficiency,110,60,110,16,70,5.5,Mild,201
Nutrient Deficiency,111,61,111,16.1,60,6.5,Mild,201
Nutrient Deficiency,112,62,112,16.2,61,6.4,Mild,201
Powdery Mildew,100,50,100,40,50,6,Mild,202
Canker Diseases,100,50,100,25,50,6,Mild,204
Canker Diseases,100,50,100,25,30,6,Mild,204
Bacterial Wilt,100,50,100,25,75,6,Mild,216
Cercospora Leaf Blight,100,50,100,20,50,6,Mild,227
Cercospora Leaf Blight,100,50,100,25,50,2.5,Mild,227
Rust Disease,100,50,100,20,50,6,Mild,227
Rust Disease,100,50,100,20,30,6,Mild,227
Rust Disease,100,50,100,20,70,6,Mild,227
Powdery Mildew,100,50,100,25,50,6,Mild,297
Powdery Mildew,100,50,100,25,80,6,Mild,297
Powdery Mildew,100,50,100,25,30,6,Mild,297
Powdery Mildew,145,95,145,24.6,68,5.7,Mild,298
Powdery Mildew,146,96,146,24.7,69,5.6,Mild,298
Powdery Mildew,147,97,147,24.8,70,5.5,Mild,298
Powdery Mildew,148,98,148,24.9,60,6.5,Mild,298
Powdery Mildew,149,99,149,25,61,6.4,Mild,298
Powdery Mildew,136,86,136,23.7,70,5.5,Mild,299
Powdery Mildew,137,87,137,23.8,60,6.5,Mild,299
Powdery Mildew,138,88,138,23.9,61,6.4,Mild,299
Powdery Mildew,139,89,139,24,62,6.3,Mild,299
Powdery Mildew,140,90,140,24.1,63,6.2,Mild,299
Powdery Mildew,141,91,141,24.2,64,6.1,Mild,299
Powdery Mildew,142,92,142,24.3,65,6,Mild,299
Powdery Mildew,143,93,143,24.4,66,5.9,Mild,299
Powdery Mildew,144,94,144,24.5,67,5.8,Mild,299
Powdery Mildew,126,76,126,22.7,60,6.5,Mild,300
Powdery Mildew,127,77,127,22.8,61,6.4,Mild,300
Powdery Mildew,128,78,128,22.9,62,6.3,Mild,300
Powdery Mildew,129,79,129,23,63,6.2,Mild,300
Powdery Mildew,130,80,130,23.1,64,6.1,Mild,300
Powdery Mildew,131,81,131,23.2,65,6,Mild,300
Powdery Mildew,132,82,132,23.3,66,5.9,Mild,300
Powdery Mildew,133,83,133,23.4,67,5.8,Mild,300
Powdery Mildew,134,84,134,23.5,68,5.7,Mild,300
Powdery Mildew,135,85,135,23.6,69,5.6,Mild,301
Powdery Mildew,115,65,115,21.6,60,6.5,Mild,301
Powdery Mildew,116,66,116,21.7,61,6.4,Mild,301
Powdery Mildew,117,67,117,21.8,62,6.3,Mild,301
Powdery Mildew,118,68,118,21.9,63,6.2,Mild,301
Powdery Mildew,119,69,119,22,64,6.1,Mild,301
Powdery Mildew,120,70,120,22.1,65,6,Mild,301
Powdery Mildew,121,71,121,22.2,66,5.9,Mild,301
Powdery Mildew,122,72,122,22.3,67,5.8,Mild,301
Powdery Mildew,123,73,123,22.4,68,5.7,Mild,301
Powdery Mildew,124,74,124,22.5,69,5.6,Mild,301
Powdery Mildew,125,75,125,22.6,70,5.5,Mild,301
Powdery Mildew,104,54,104,20.5,60,6.5,Mild,302
Powdery Mildew,105,55,105,20.6,61,6.4,Mild,302
Powdery Mildew,106,56,106,20.7,62,6.3,Mild,302
Powdery Mildew,107,57,107,20.8,63,6.2,Mild,302
Powdery Mildew,108,58,108,20.9,64,6.1,Mild,302
Powdery Mildew,109,59,109,21,65,6,Mild,302
Powdery Mildew,110,60,110,21.1,66,5.9,Mild,302
Powdery Mildew,111,61,111,21.2,67,5.8,Mild,302
Powdery Mildew,112,62,112,21.3,68,5.7,Mild,302
Powdery Mildew,113,63,113,21.4,69,5.6,Mild,302
Powdery Mildew,114,64,114,21.5,70,5.5,Mild,302
Powdery Mildew,144,94,144,19.4,60,6.5,Mild,303
Powdery Mildew,145,95,145,19.5,61,6.4,Mild,303
Powdery Mildew,146,96,146,19.6,62,6.3,Mild,303
Powdery Mildew,147,97,147,19.7,63,6.2,Mild,303
Powdery Mildew,148,98,148,19.8,64,6.1,Mild,303
Powdery Mildew,149,99,149,19.9,65,6,Mild,303
Powdery Mildew,150,100,150,20,66,5.9,Mild,303
Powdery Mildew,100,50,100,20.1,67,5.8,Mild,303
Powdery Mildew,101,51,101,20.2,68,5.7,Mild,303
Powdery Mildew,102,52,102,20.3,69,5.6,Mild,303
Powdery Mildew,103,53,103,20.4,70,5.5,Mild,303
Powdery Mildew,133,83,133,18.3,60,6.5,Mild,304
Powdery Mildew,134,84,134,18.4,61,6.4,Mild,304
Powdery Mildew,135,85,135,18.5,62,6.3,Mild,304
Powdery Mildew,136,86,136,18.6,63,6.2,Mild,304
Powdery Mildew,137,87,137,18.7,64,6.1,Mild,304
Powdery Mildew,138,88,138,18.8,65,6,Mild,304
Powdery Mildew,139,89,139,18.9,66,5.9,Mild,304
Powdery Mildew,140,90,140,19,67,5.8,Mild,304
Powdery Mildew,141,91,141,19.1,68,5.7,Mild,304
Powdery Mildew,142,92,142,19.2,69,5.6,Mild,304
Powdery Mildew,143,93,143,19.3,70,5.5,Mild,304
Powdery Mildew,123,73,123,17.3,61,6.4,Mild,305
Powdery Mildew,124,74,124,17.4,62,6.3,Mild,305
Powdery Mildew,125,75,125,17.5,63,6.2,Mild,305
Powdery Mildew,126,76,126,17.6,64,6.1,Mild,305
Powdery Mildew,127,77,127,17.7,65,6,Mild,305
Powdery Mildew,128,78,128,17.8,66,5.9,Mild,305
Powdery Mildew,129,79,129,17.9,67,5.8,Mild,305
Powdery Mildew,130,80,130,18,68,5.7,Mild,305
Powdery Mildew,131,81,131,18.1,69,5.6,Mild,305
Powdery Mildew,132,82,132,18.2,70,5.5,Mild,305
Powdery Mildew,111,61,111,16.1,60,6.5,Mild,306
Powdery Mildew,112,62,112,16.2,61,6.4,Mild,306
Powdery Mildew,113,63,113,16.3,62,6.3,Mild,306
Powdery Mildew,114,64,114,16.4,63,6.2,Mild,306
Powdery Mildew,115,65,115,16.5,64,6.1,Mild,306
Powdery Mildew,116,66,116,16.6,65,6,Mild,306
Powdery Mildew,117,67,117,16.7,66,5.9,Mild,306
Powdery Mildew,118,68,118,16.8,67,5.8,Mild,306
Powdery Mildew,119,69,119,16.9,68,5.7,Mild,306
Powdery Mildew,120,70,120,17,69,5.6,Mild,306
Powdery Mildew,121,71,121,17.1,70,5.5,Mild,306
Powdery Mildew,122,72,122,17.2,60,6.5,Mild,306
Powdery Mildew,100,50,100,15,60,6.5,Mild,307
Powdery Mildew,101,51,101,15.1,61,6.4,Mild,307
Powdery Mildew,102,52,102,15.2,62,6.3,Mild,307
Powdery Mildew,103,53,103,15.3,63,6.2,Mild,307
Powdery Mildew,104,54,104,15.4,64,6.1,Mild,307
Powdery Mildew,105,55,105,15.5,65,6,Mild,307
Powdery Mildew,106,56,106,15.6,66,5.9,Mild,307
Powdery Mildew,107,57,107,15.7,67,5.8,Mild,307
Powdery Mildew,108,58,108,15.8,68,5.7,Mild,307
Powdery Mildew,109,59,109,15.9,69,5.6,Mild,307
Powdery Mildew,110,60,110,16,70,5.5,Mild,307
Bacterial Wilt,148,98,148,29.9,60,6.5,Mild,308
Bacterial Wilt,149,99,149,30,61,6.4,Mild,308
Bacterial Wilt,137,87,137,28.8,60,6.5,Mild,309
Bacterial Wilt,138,88,138,28.9,61,6.4,Mild,309
Bacterial Wilt,139,89,139,29,62,6.3,Mild,309
Bacterial Wilt,140,90,140,29.1,63,6.2,Mild,309
Bacterial Wilt,141,91,141,29.2,64,6.1,Mild,309
Bacterial Wilt,142,92,142,29.3,65,6,Mild,309
Bacterial Wilt,143,93,143,29.4,66,5.9,Mild,309
Bacterial Wilt,144,94,144,29.5,67,5.8,Mild,309
Bacterial Wilt,145,95,145,29.6,68,5.7,Mild,309
Bacterial Wilt,146,96,146,29.7,69,5.6,Mild,309
Bacterial Wilt,147,97,147,29.8,70,5.5,Mild,309
Bacterial Wilt,126,76,126,27.7,60,6.5,Mild,310
Bacterial Wilt,127,77,127,27.8,61,6.4,Mild,310
Bacterial Wilt,128,78,128,27.9,62,6.3,Mild,310
Bacterial Wilt,129,79,129,28,63,6.2,Mild,310
Bacterial Wilt,130,80,130,28.1,64,6.1,Mild,310
Bacterial Wilt,131,81,131,28.2,65,6,Mild,310
Bacterial Wilt,132,82,132,28.3,66,5.9,Mild,310
Bacterial Wilt,133,83,133,28.4,67,5.8,Mild,310
Bacterial Wilt,134,84,134,28.5,68,5.7,Mild,310
Bacterial Wilt,135,85,135,28.6,69,5.6,Mild,310
Bacterial Wilt,136,86,136,28.7,70,5.5,Mild,310
Bacterial Wilt,115,65,115,26.6,60,6.5,Mild,311
Bacterial Wilt,116,66,116,26.7,61,6.4,Mild,311
Bacterial Wilt,117,67,117,26.8,62,6.3,Mild,311
Bacterial Wilt,118,68,118,26.9,63,6.2,Mild,311
Bacterial Wilt,119,69,119,27,64,6.1,Mild,311
Bacterial Wilt,120,70,120,27.1,65,6,Mild,311
Bacterial Wilt,121,71,121,27.2,66,5.9,Mild,311
Bacterial Wilt,122,72,122,27.3,67,5.8,Mild,311
Bacterial Wilt,123,73,123,27.4,68,5.7,Mild,311
Bacterial Wilt,124,74,124,27.5,69,5.6,Mild,311
Bacterial Wilt,125,75,125,27.6,70,5.5,Mild,311
Bacterial Wilt,104,54,104,25.5,60,6.5,Mild,312
Bacterial Wilt,105,55,105,25.6,61,6.4,Mild,312
Bacterial Wilt,106,56,106,25.7,62,6.3,Mild,312
Bacterial Wilt,107,57,107,25.8,63,6.2,Mild,312
Bacterial Wilt,108,58,108,25.9,64,6.1,Mild,312
Bacterial Wilt,109,59,109,26,65,6,Mild,312
Bacterial Wilt,110,60,110,26.1,66,5.9,Mild,312
Bacterial Wilt,111,61,111,26.2,67,5.8,Mild,312
Bacterial Wilt,112,62,112,26.3,68,5.7,Mild,312
Bacterial Wilt,113,63,113,26.4,69,5.6,Mild,312
Bacterial Wilt,114,64,114,26.5,70,5.5,Mild,312
Bacterial Wilt,144,94,144,24.4,60,6.5,Mild,313
Bacterial Wilt,145,95,145,24.5,61,6.4,Mild,313
Bacterial Wilt,146,96,146,24.6,62,6.3,Mild,313
Bacterial Wilt,147,97,147,24.7,63,6.2,Mild,313
Bacterial Wilt,148,98,148,24.8,64,6.1,Mild,313
Bacterial Wilt,149,99,149,24.9,65,6,Mild,313
Bacterial Wilt,150,100,150,25,66,5.9,Mild,313
Bacterial Wilt,100,50,100,25.1,67,5.8,Mild,313
Bacterial Wilt,101,51,101,25.2,68,5.7,Mild,313
Bacterial Wilt,102,52,102,25.3,69,5.6,Mild,313
Bacterial Wilt,103,53,103,25.4,70,5.5,Mild,313
Bacterial Wilt,133,83,133,23.3,60,6.5,Mild,314
Bacterial Wilt,134,84,134,23.4,61,6.4,Mild,314
Bacterial Wilt,135,85,135,23.5,62,6.3,Mild,314
Bacterial Wilt,136,86,136,23.6,63,6.2,Mild,314
Bacterial Wilt,137,87,137,23.7,64,6.1,Mild,314
Bacterial Wilt,138,88,138,23.8,65,6,Mild,314
Bacterial Wilt,139,89,139,23.9,66,5.9,Mild,314
Bacterial Wilt,140,90,140,24,67,5.8,Mild,314
Bacterial Wilt,141,91,141,24.1,68,5.7,Mild,314
Bacterial Wilt,142,92,142,24.2,69,5.6,Mild,314
Bacterial Wilt,143,93,143,24.3,70,5.5,Mild,314
Bacterial Wilt,122,72,122,22.2,60,6.5,Mild,315
Bacterial Wilt,123,73,123,22.3,61,6.4,Mild,315
Bacterial Wilt,124,74,124,22.4,62,6.3,Mild,315
Bacterial Wilt,125,75,125,22.5,63,6.2,Mild,315
Bacterial Wilt,126,76,126,22.6,64,6.1,Mild,315
Bacterial Wilt,127,77,127,22.7,65,6,Mild,315
Bacterial Wilt,128,78,128,22.8,66,5.9,Mild,315
Bacterial Wilt,129,79,129,22.9,67,5.8,Mild,315
Bacterial Wilt,130,80,130,23,68,5.7,Mild,315
Bacterial Wilt,131,81,131,23.1,69,5.6,Mild,315
Bacterial Wilt,132,82,132,23.2,70,5.5,Mild,315
Bacterial Wilt,111,61,111,21.1,60,6.5,Mild,316
Bacterial Wilt,112,62,112,21.2,61,6.4,Mild,316
Bacterial Wilt,113,63,113,21.3,62,6.3,Mild,316
Bacterial Wilt,114,64,114,21.4,63,6.2,Mild,316
Bacterial Wilt,115,65,115,21.5,64,6.1,Mild,316
Bacterial Wilt,116,66,116,21.6,65,6,Mild,316
Bacterial Wilt,117,67,117,21.7,66,5.9,Mild,316
Bacterial Wilt,118,68,118,21.8,67,5.8,Mild,316
Bacterial Wilt,119,69,119,21.9,68,5.7,Mild,316
Bacterial Wilt,120,70,120,22,69,5.6,Mild,316
Bacterial Wilt,121,71,121,22.1,70,5.5,Mild,316
Bacterial Wilt,100,50,100,20,60,6.5,Mild,317
Bacterial Wilt,101,51,101,20.1,61,6.4,Mild,317
Bacterial Wilt,102,52,102,20.2,62,6.3,Mild,317
Bacterial Wilt,103,53,103,20.3,63,6.2,Mild,317
Bacterial Wilt,104,54,104,20.4,64,6.1,Mild,317
Bacterial Wilt,105,55,105,20.5,65,6,Mild,317
Bacterial Wilt,106,56,106,20.6,66,5.9,Mild,317
Bacterial Wilt,107,57,107,20.7,67,5.8,Mild,317
Bacterial Wilt,108,58,108,20.8,68,5.7,Mild,317
Bacterial Wilt,109,59,109,20.9,69,5.6,Mild,317
Bacterial Wilt,110,60,110,21,70,5.5,Mild,317
Root Rot,143,93,143,39.4,66,5.9,Mild,318
Root Rot,144,94,144,39.5,67,5.8,Mild,318
Root Rot,145,95,145,39.6,68,5.7,Mild,318
Root Rot,146,96,146,39.7,69,5.6,Mild,318
Root Rot,147,97,147,39.8,70,5.5,Mild,318
Root Rot,148,98,148,39.9,60,6.5,Mild,318
Root Rot,149,99,149,40,61,6.4,Mild,318
Root Rot,132,82,132,38.3,66,5.9,Mild,319
Root Rot,133,83,133,38.4,67,5.8,Mild,319
Root Rot,134,84,134,38.5,68,5.7,Mild,319
Root Rot,135,85,135,38.6,69,5.6,Mild,319
Root Rot,136,86,136,38.7,70,5.5,Mild,319
Root Rot,137,87,137,38.8,60,6.5,Mild,319
Root Rot,138,88,138,38.9,61,6.4,Mild,319
Root Rot,139,89,139,39,62,6.3,Mild,319
Root Rot,140,90,140,39.1,63,6.2,Mild,319
Root Rot,141,91,141,39.2,64,6.1,Mild,319
Root Rot,142,92,142,39.3,65,6,Mild,319
Root Rot,121,71,121,37.2,66,5.9,Mild,320
Root Rot,122,72,122,37.3,67,5.8,Mild,320
Root Rot,123,73,123,37.4,68,5.7,Mild,320
Root Rot,124,74,124,37.5,69,5.6,Mild,320
Root Rot,125,75,125,37.6,70,5.5,Mild,320
Root Rot,126,76,126,37.7,60,6.5,Mild,320
Root Rot,127,77,127,37.8,61,6.4,Mild,320
Root Rot,128,78,128,37.9,62,6.3,Mild,320
Root Rot,129,79,129,38,63,6.2,Mild,320
Root Rot,130,80,130,38.1,64,6.1,Mild,320
Root Rot,131,81,131,38.2,65,6,Mild,320
Root Rot,110,60,110,36.1,66,5.9,Mild,321
Root Rot,111,61,111,36.2,67,5.8,Mild,321
Root Rot,112,62,112,36.3,68,5.7,Mild,321
Root Rot,113,63,113,36.4,69,5.6,Mild,321
Root Rot,114,64,114,36.5,70,5.5,Mild,321
Root Rot,115,65,115,36.6,60,6.5,Mild,321
Root Rot,116,66,116,36.7,61,6.4,Mild,321
Root Rot,117,67,117,36.8,62,6.3,Mild,321
Root Rot,118,68,118,36.9,63,6.2,Mild,321
Root Rot,119,69,119,37,64,6.1,Mild,321
Root Rot,120,70,120,37.1,65,6,Mild,321
Root Rot,150,100,150,35,66,5.9,Mild,322
Root Rot,100,50,100,35.1,67,5.8,Mild,322
Root Rot,101,51,101,35.2,68,5.7,Mild,322
Root Rot,102,52,102,35.3,69,5.6,Mild,322
Root Rot,103,53,103,35.4,70,5.5,Mild,322
Root Rot,104,54,104,35.5,60,6.5,Mild,322
Root Rot,105,55,105,35.6,61,6.4,Mild,322
Root Rot,106,56,106,35.7,62,6.3,Mild,322
Root Rot,107,57,107,35.8,63,6.2,Mild,322
Root Rot,108,58,108,35.9,64,6.1,Mild,322
Root Rot,109,59,109,36,65,6,Mild,322
Root Rot,143,93,143,24.4,66,5.9,Mild,323
Root Rot,144,94,144,24.5,67,5.8,Mild,323
Root Rot,145,95,145,24.6,68,5.7,Mild,323
Root Rot,146,96,146,24.7,69,5.6,Mild,323
Root Rot,147,97,147,24.8,70,5.5,Mild,323
Root Rot,148,98,148,24.9,60,6.5,Mild,323
Root Rot,149,99,149,25,61,6.4,Mild,323
Root Rot,139,89,139,33.9,66,5.9,Mild,323
Root Rot,140,90,140,34,67,5.8,Mild,323
Root Rot,141,91,141,34.1,68,5.7,Mild,323
Root Rot,142,92,142,34.2,69,5.6,Mild,323
Root Rot,143,93,143,34.3,70,5.5,Mild,323
Root Rot,144,94,144,34.4,60,6.5,Mild,323
Root Rot,145,95,145,34.5,61,6.4,Mild,323
Root Rot,146,96,146,34.6,62,6.3,Mild,323
Root Rot,147,97,147,34.7,63,6.2,Mild,323
Root Rot,148,98,148,34.8,64,6.1,Mild,323
Root Rot,149,99,149,34.9,65,6,Mild,323
Root Rot,132,82,132,23.3,66,5.9,Mild,324
Root Rot,133,83,133,23.4,67,5.8,Mild,324
Root Rot,134,84,134,23.5,68,5.7,Mild,324
Root Rot,135,85,135,23.6,69,5.6,Mild,324
Root Rot,136,86,136,23.7,70,5.5,Mild,324
Root Rot,137,87,137,23.8,60,6.5,Mild,324
Root Rot,138,88,138,23.9,61,6.4,Mild,324
Root Rot,139,89,139,24,62,6.3,Mild,324
Root Rot,140,90,140,24.1,63,6.2,Mild,324
Root Rot,141,91,141,24.2,64,6.1,Mild,324
Root Rot,142,92,142,24.3,65,6,Mild,324
Root Rot,128,78,128,32.8,66,5.9,Mild,324
Root Rot,129,79,129,32.9,67,5.8,Mild,324
Root Rot,130,80,130,33,68,5.7,Mild,324
Root Rot,131,81,131,33.1,69,5.6,Mild,324
Root Rot,132,82,132,33.2,70,5.5,Mild,324
Root Rot,133,83,133,33.3,60,6.5,Mild,324
Root Rot,134,84,134,33.4,61,6.4,Mild,324
Root Rot,135,85,135,33.5,62,6.3,Mild,324
Root Rot,136,86,136,33.6,63,6.2,Mild,324
Root Rot,137,87,137,33.7,64,6.1,Mild,324
Root Rot,138,88,138,33.8,65,6,Mild,324
Root Rot,121,71,121,22.2,66,5.9,Mild,325
Root Rot,122,72,122,22.3,67,5.8,Mild,325
Root Rot,123,73,123,22.4,68,5.7,Mild,325
Root Rot,124,74,124,22.5,69,5.6,Mild,325
Root Rot,125,75,125,22.6,70,5.5,Mild,325
Root Rot,126,76,126,22.7,60,6.5,Mild,325
Root Rot,127,77,127,22.8,61,6.4,Mild,325
Root Rot,128,78,128,22.9,62,6.3,Mild,325
Root Rot,129,79,129,23,63,6.2,Mild,325
Root Rot,130,80,130,23.1,64,6.1,Mild,325
Root Rot,131,81,131,23.2,65,6,Mild,325
Root Rot,117,67,117,31.7,66,5.9,Mild,325
Root Rot,118,68,118,31.8,67,5.8,Mild,325
Root Rot,119,69,119,31.9,68,5.7,Mild,325
Root Rot,120,70,120,32,69,5.6,Mild,325
Root Rot,121,71,121,32.1,70,5.5,Mild,325
Root Rot,122,72,122,32.2,60,6.5,Mild,325
Root Rot,123,73,123,32.3,61,6.4,Mild,325
Root Rot,124,74,124,32.4,62,6.3,Mild,325
Root Rot,125,75,125,32.5,63,6.2,Mild,325
Root Rot,126,76,126,32.6,64,6.1,Mild,325
Root Rot,127,77,127,32.7,65,6,Mild,325
Root Rot,110,60,110,21.1,66,5.9,Mild,326
Root Rot,111,61,111,21.2,67,5.8,Mild,326
Root Rot,112,62,112,21.3,68,5.7,Mild,326
Root Rot,113,63,113,21.4,69,5.6,Mild,326
Root Rot,114,64,114,21.5,70,5.5,Mild,326
Root Rot,115,65,115,21.6,60,6.5,Mild,326
